agricultrendsyieldheatmap.crop,agricultrendsyieldheatmap.roundprecipitation,agricultrendsyieldheatmap.roundtemperature,agricultrendsyieldheatmap.yieldsum,agricultrendsyieldheatmap.yieldrecordnum,agricultrendsyieldheatmap.yieldavg
Cereals Rice Milled Eqv,80,21,500368.0,48,10424.333333333334
Cauliflowers and broccoli,110,8,746470.0,5,149294.0
Carrots and turnips,10,12,2017806.0,5,403561.2
Beans green,10,12,488740.0,5,97748.0
Cereals Rice Milled Eqv,10,16,271613.0,15,18107.533333333333
Almonds with shell,10,16,165376.0,15,11025.066666666668
Pepper piper spp.,30,5,469286.0,5,93857.2
Grapefruit inc. pomelos,100,24,1043546.0,8,130443.25
Peaches and nectarines,70,23,332995.0,6,55499.166666666664
Sorghum,70,21,169848.0,22,7720.363636363636
Mangoes mangosteens guavas,10,17,1591030.0,14,113645.0
Tea,180,23,17413.0,2,8706.5
Cucumbers and gherkins,130,6,1858345.0,2,929172.5
Manila fibre abaca,200,25,48046.0,8,6005.75
Roots and Tubers Total,130,7,609438.0,3,203146.0
Buckwheat,80,12,108762.0,6,18127.0
Barley,250,23,14176.0,1,14176.0
Carrots and turnips,50,25,1001200.0,6,166866.66666666666
Potatoes,50,25,995493.0,6,165915.5
Asparagus,120,9,52395.0,2,26197.5
Groundnuts with shell,30,27,95539.0,10,9553.9
Apples,140,27,198227.0,4,49556.75
Fruit tropical fresh nes,70,25,193726.0,3,64575.333333333336
Potatoes,290,25,311260.0,2,155630.0
Linseed,40,2,47652.0,3,15884.0
String beans,10,20,193259.0,3,64419.666666666664
Nuts nes,210,27,44681.0,1,44681.0
Cereals nes,30,9,65380.0,4,16345.0
Hemp tow waste,30,9,32874.0,4,8218.5
Sunflower seed,120,23,13322.0,1,13322.0
Rice paddy,110,21,111252.0,4,27813.0
Cherries,100,5,126090.0,2,63045.0
Beans dry,40,18,159756.0,12,13313.0
Sunflower seed,90,17,65051.0,7,9293.0
Currants,100,10,263808.0,5,52761.6
Pumpkins squash and gourds,320,22,85400.0,1,85400.0
Maize green,150,10,275380.0,2,137690.0
Okra,190,26,307795.0,5,61559.0
Strawberries,200,25,125000.0,1,125000.0
Oilcrops Oil Equivalent,20,23,11802.0,3,3934.0
Lettuce and chicory,120,19,879926.0,7,125703.71428571429
Oilcrops Oil Equivalent,140,20,5342.0,1,5342.0
Strawberries,110,22,90563.0,1,90563.0
Cassava,80,25,247078.0,5,49415.6
Fruit tropical fresh nes,70,20,167086.0,1,167086.0
Chillies and peppers green,20,3,220000.0,2,110000.0
Mangoes mangosteens guavas,170,12,6589.0,1,6589.0
Bananas,90,18,268863.0,4,67215.75
Maize green,120,12,203374.0,2,101687.0
Pistachios,50,19,7944.0,3,2648.0
Chillies and peppers dry,10,5,18000.0,1,18000.0
Oil palm fruit,30,28,100000.0,1,100000.0
Spices nes,70,27,24162.0,2,12081.0
Pumpkins squash and gourds,150,9,178351.0,1,178351.0
Cloves,120,25,5142.0,2,2571.0
Cereals nes,40,0,9067.0,1,9067.0
Fibre Crops Primary,40,23,4796.0,1,4796.0
Pulses nes,60,5,15797.0,2,7898.5
Peaches and nectarines,200,26,185823.0,1,185823.0
Eggplants aubergines,90,8,270833.0,1,270833.0
Sugar beet,20,15,849076.0,2,424538.0
Fruit tropical fresh nes,290,26,43315.0,2,21657.5
Ginger,250,23,24000.0,1,24000.0
Maize green,60,23,39556.0,1,39556.0
Lemons and limes,80,19,13969.0,1,13969.0
Oilcrops Oil Equivalent,270,27,32577.0,7,4653.857142857143
Pumpkins squash and gourds,80,13,312968.0,1,312968.0
Watermelons,60,23,151050.0,2,75525.0
Roots and Tubers Total,90,0,228117.0,1,228117.0
Cereals Total,240,27,14214.0,1,14214.0
Pyrethrum dried,260,24,9717.0,2,4858.5
Fibre Crops Primary,210,22,20649.0,2,10324.5
Linseed,70,21,6986.0,1,6986.0
Tomatoes,100,16,845002.0,1,845002.0
Castor oil seed,50,11,13500.0,1,13500.0
Apricots,70,8,11032.0,1,11032.0
Onions shallots green,70,21,302529.0,17,17795.823529411766
Pistachios,30,12,136180.0,6,22696.666666666668
Seed cotton,90,27,478393.0,55,8698.054545454546
Strawberries,50,6,5121971.0,49,104530.02040816327
Fibre Crops Primary,80,21,205433.0,48,4279.854166666667
Plums and sloes,30,-7,716444.0,17,42143.76470588235
Cassava,70,25,94349.0,3,31449.666666666668
Sesame seed,90,23,134314.0,29,4631.517241379311
Tomatoes,20,19,1.8517822E7,61,303570.8524590164
Fruit Primary,60,12,1887410.0,22,85791.36363636363
Cereals Total,0,22,1818370.0,84,21647.261904761905
Barley,40,8,1294996.0,42,30833.238095238095
Lettuce and chicory,40,8,4897501.0,26,188365.42307692306
Currants,40,8,1909069.0,22,86775.86363636363
Roots and Tubers Total,50,13,3992499.0,25,159699.96
Okra,0,22,4381958.0,32,136936.1875
Linseed,60,23,50569.0,8,6321.125
Cabbages and other brassicas,200,24,5202243.0,29,179387.6896551724
Strawberries,40,9,1593186.0,30,53106.2
Plums and sloes,130,9,2780607.0,4,695151.75
Cassava,270,25,2628710.0,21,125176.66666666667
Oilseeds nes,40,22,5510.0,1,5510.0
Pulses Total,60,7,544320.0,31,17558.709677419356
Flax fibre and tow,60,7,165174.0,21,7865.428571428572
Potatoes,60,9,1.0478011E7,33,317515.48484848486
Pigeon peas,100,24,173413.0,18,9634.055555555555
Pulses nes,210,24,215702.0,16,13481.375
Grapefruit inc. pomelos,40,24,939523.0,12,78293.58333333333
Vegetables fresh nes,100,11,1808234.0,9,200914.88888888888
Tea,130,12,102581.0,7,14654.42857142857
Fibre Crops Primary,20,29,34629.0,9,3847.6666666666665
Chillies and peppers green,90,13,140313.0,5,28062.6
Oranges,40,12,1128236.0,6,188039.33333333334
Pepper piper spp.,140,24,616969.0,33,18696.030303030304
Vegetables Primary,270,21,179474.0,2,89737.0
Kiwi fruit,40,14,1763794.0,17,103752.58823529411
Cucumbers and gherkins,10,21,2871935.0,25,114877.4
Carrots and turnips,130,27,1026786.0,11,93344.18181818182
Oilcrops Cake Equivalent,160,22,51228.0,14,3659.1428571428573
Jute,160,22,81002.0,9,9000.222222222223
Peas dry,50,12,177498.0,13,13653.692307692309
Barley,50,12,224143.0,14,16010.214285714286
Peas green,50,12,554840.0,8,69355.0
Beans dry,80,12,191169.0,17,11245.235294117647
Cabbages and other brassicas,120,6,2540274.0,8,317534.25
Coconuts,150,24,2605800.0,46,56647.82608695652
Eggplants aubergines,150,24,1341842.0,18,74546.77777777778
Citrus Fruit Total,170,25,3774006.0,55,68618.29090909091
Roots and Tubers Total,60,15,1699367.0,14,121383.35714285714
Citrus Fruit Total,60,15,1883284.0,14,134520.2857142857
Sugar cane,70,23,1.1036402E7,21,525542.9523809524
Rice paddy,30,10,504851.0,16,31553.1875
Lettuce and chicory,50,11,4333136.0,20,216656.8
Oilcrops Oil Equivalent,140,11,65574.0,19,3451.2631578947367
Cabbages and other brassicas,250,24,953097.0,9,105899.66666666667
Peaches and nectarines,50,9,1469178.0,30,48972.6
Coarse Grain Total,70,22,265853.0,24,11077.208333333334
Cereals Rice Milled Eqv,70,22,266463.0,24,11102.625
Kapok fruit,130,26,319139.0,10,31913.9
Oil palm fruit,80,26,1313458.0,18,72969.88888888889
Coconuts,230,24,996751.0,22,45306.86363636364
Millet,70,24,60773.0,11,5524.818181818182
Sugar cane,130,24,2.4375029E7,62,393145.62903225806
Sesame seed,20,26,165916.0,43,3858.5116279069766
Almonds with shell,20,12,202481.0,12,16873.416666666668
Pulses Total,100,20,187636.0,19,9875.578947368422
Carobs,40,18,240626.0,9,26736.222222222223
Cabbages and other brassicas,40,2,5598462.0,18,311025.6666666667
Grain mixed,40,2,545789.0,18,30321.61111111111
Vegetables Primary,240,26,1001419.0,16,62588.6875
Sweet potatoes,60,28,3230594.0,31,104212.70967741935
Cherries,30,19,700705.0,19,36879.21052631579
Cabbages and other brassicas,120,11,3460093.0,8,432511.625
Roots and tubers nes,160,24,1745527.0,25,69821.08
Broad beans horse beans dry,150,25,76599.0,14,5471.357142857143
Pears,100,8,1251789.0,11,113799.0
Almonds with shell,70,11,209079.0,12,17423.25
Melons other inc.cantaloupes,240,26,874330.0,7,124904.28571428571
Manila fibre abaca,240,26,79840.0,9,8871.111111111111
Dates,50,21,791474.0,16,49467.125
Pyrethrum dried,290,25,7907.0,2,3953.5
Fruit tropical fresh nes,10,24,1434567.0,26,55175.653846153844
Sugar cane,50,22,5099460.0,6,849910.0
Anise badian fennel coriander,50,22,37193.0,6,6198.833333333333
Lemons and limes,230,26,480939.0,8,60117.375
Leeks other alliaceous vegetables,20,17,659611.0,5,131922.2
Sisal,70,23,55787.0,12,4648.916666666667
Cabbages and other brassicas,180,22,820249.0,4,205062.25
Lettuce and chicory,100,9,3491159.0,15,232743.93333333332
Grain mixed,110,9,376495.0,9,41832.77777777778
Kiwi fruit,110,9,237413.0,1,237413.0
Artichokes,10,17,1376647.0,12,114720.58333333333
Canary seed,100,17,45589.0,7,6512.714285714285
Avocados,70,27,40000.0,1,40000.0
Coarse Grain Total,90,24,529308.0,33,16039.636363636364
Chillies and peppers green,110,19,427141.0,7,61020.142857142855
Sorghum,80,20,270430.0,12,22535.833333333332
Cereals Rice Milled Eqv,30,29,22267.0,2,11133.5
Mangoes mangosteens guavas,30,29,375962.0,2,187981.0
Sunflower seed,60,14,66982.0,6,11163.666666666666
Grapes,40,8,1833055.0,23,79698.04347826086
Millet,130,9,49324.0,3,16441.333333333332
Roots and tubers nes,60,19,265407.0,4,66351.75
Millet,120,27,128429.0,17,7554.64705882353
Triticale,70,7,113346.0,3,37782.0
Chick peas,30,14,42305.0,5,8461.0
Sorghum,100,6,39012.0,3,13004.0
Seed cotton,120,23,196265.0,23,8533.260869565218
Cherries sour,80,10,238360.0,7,34051.42857142857
Cassava,50,29,80333.0,2,40166.5
Peaches and nectarines,10,6,103979.0,4,25994.75
Treenuts Total,90,6,57538.0,4,14384.5
Mustard seed,130,11,39675.0,7,5667.857142857143
Apricots,30,-5,333642.0,7,47663.142857142855
Cabbages and other brassicas,80,17,111688.0,2,55844.0
Strawberries,70,8,143984.0,2,71992.0
Coconuts,10,26,140292.0,5,28058.4
Rye,110,5,242953.0,6,40492.166666666664
Cucumbers and gherkins,160,12,983688.0,2,491844.0
Fruit citrus nes,130,23,205684.0,5,41136.8
Agave fibres nes,190,24,99061.0,9,11006.777777777777
Cassava,240,27,879995.0,9,97777.22222222222
Groundnuts with shell,150,11,59584.0,3,19861.333333333332
Dates,30,18,315184.0,5,63036.8
Walnuts with shell,90,12,96072.0,3,32024.0
Okra,260,26,144007.0,3,48002.333333333336
Oilcrops Oil Equivalent,180,12,1658.0,1,1658.0
Broad beans horse beans dry,40,16,134868.0,9,14985.333333333334
Avocados,80,19,149839.0,1,149839.0
Vegetables Primary,140,21,947512.0,8,118439.0
Hemp tow waste,40,14,434762.0,12,36230.166666666664
Pulses Total,110,21,32689.0,4,8172.25
Persimmons,40,7,346977.0,10,34697.7
Cauliflowers and broccoli,140,12,340146.0,4,85036.5
Rubber natural,150,25,165546.0,18,9197.0
Apples,40,3,317863.0,5,63572.6
Cereals nes,50,22,47740.0,5,9548.0
Seed cotton,50,14,565820.0,26,21762.30769230769
Rice paddy,200,25,1372163.0,59,23257.0
Avocados,200,25,793445.0,14,56674.642857142855
Plums and sloes,70,13,859533.0,6,143255.5
Tangerines mandarins clementines satsumas,50,11,1575170.0,12,131264.16666666666
Strawberries,80,23,505289.0,6,84214.83333333333
Potatoes,50,29,88587.0,2,44293.5
Spinach,110,5,900677.0,6,150112.83333333334
Cauliflowers and broccoli,130,23,1738040.0,11,158003.63636363635
Oilcrops Oil Equivalent,40,25,1171.0,1,1171.0
Eggplants aubergines,230,22,120714.0,1,120714.0
Potatoes,230,22,230617.0,1,230617.0
Carrots and turnips,100,14,300000.0,1,300000.0
Potatoes,40,5,1505071.0,11,136824.63636363635
Beans dry,40,5,143411.0,11,13037.363636363636
Apples,40,5,322057.0,11,29277.909090909092
Tea,180,24,47256.0,6,7876.0
Mangoes mangosteens guavas,190,23,268148.0,2,134074.0
Fruit fresh nes,60,5,18889.0,1,18889.0
Blueberries,60,5,1000.0,1,1000.0
Walnuts with shell,130,10,79825.0,4,19956.25
Roots and Tubers Total,10,-2,434946.0,6,72491.0
Fruit fresh nes,60,29,161354.0,3,53784.666666666664
Leeks other alliaceous vegetables,140,11,902472.0,3,300824.0
Oats,190,21,7982.0,1,7982.0
Pears,130,7,915648.0,1,915648.0
Pears,100,16,161369.0,1,161369.0
Apples,170,22,106756.0,2,53378.0
Cereals Rice Milled Eqv,50,17,67739.0,3,22579.666666666668
Dates,200,24,160000.0,2,80000.0
Chillies and peppers dry,90,9,195307.0,3,65102.333333333336
Barley,40,5,210556.0,11,19141.454545454544
Sorghum,190,26,114112.0,9,12679.111111111111
Rice paddy,60,18,56445.0,1,56445.0
Rice paddy,130,21,78132.0,3,26044.0
Onions dry,220,23,1096689.0,9,121854.33333333333
Spinach,100,7,842317.0,4,210579.25
Apricots,150,10,230447.0,2,115223.5
Peas green,80,5,332782.0,4,83195.5
Broad beans horse beans dry,100,22,9200.0,1,9200.0
Grain mixed,110,4,43628.0,1,43628.0
Olives,160,18,22414.0,1,22414.0
Soybeans,280,25,18000.0,2,9000.0
Tung nuts,60,22,15935.0,3,5311.666666666667
Lettuce and chicory,210,27,437375.0,2,218687.5
Roots and tubers nes,80,26,292888.0,4,73222.0
Millet,40,15,73078.0,5,14615.6
Nuts nes,200,23,89384.0,2,44692.0
Grapes,130,24,203059.0,2,101529.5
Tomatoes,20,23,340039.0,3,113346.33333333333
Grapes,110,8,92599.0,3,30866.333333333332
Vegetables fresh nes,330,26,121976.0,2,60988.0
Tomatoes,120,9,923090.0,2,461545.0
Pears,60,22,36490.0,2,18245.0
Maize,110,28,48940.0,1,48940.0
Coconuts,140,28,156673.0,3,52224.333333333336
Ginger,40,22,55556.0,1,55556.0
Triticale,70,-1,32945.0,1,32945.0
Coconuts,190,20,84888.0,1,84888.0
Onions shallots green,30,8,61795.0,1,61795.0
Pulses Total,220,21,4750.0,1,4750.0
Raspberries,100,2,71807.0,1,71807.0
Maize green,160,11,206004.0,2,103002.0
Pumpkins squash and gourds,150,6,154410.0,1,154410.0
Flax fibre and tow,80,9,25853.0,2,12926.5
Roots and Tubers Total,130,17,107824.0,2,53912.0
Spinach,120,9,83624.0,1,83624.0
Maize green,80,2,123524.0,2,61762.0
Pyrethrum dried,120,21,6842.0,1,6842.0
Lettuce and chicory,140,7,200442.0,1,200442.0
Maize green,10,22,283784.0,1,283784.0
Mangoes mangosteens guavas,260,24,20000.0,1,20000.0
Chick peas,100,11,8949.0,1,8949.0
Treenuts Total,140,20,8521.0,1,8521.0
Anise badian fennel coriander,60,12,8517.0,1,8517.0
Currants,80,0,58667.0,1,58667.0
Carrots and turnips,250,22,79600.0,1,79600.0
Rice paddy,160,10,51279.0,1,51279.0
Onions shallots green,70,12,832924.0,6,138820.66666666666
Coarse Grain Total,170,24,367443.0,26,14132.423076923076
Citrus Fruit Total,30,20,1598053.0,12,133171.08333333334
Lentils,30,20,19415.0,5,3883.0
Cucumbers and gherkins,60,25,407886.0,4,101971.5
Potatoes,50,28,2485095.0,20,124254.75
Castor oil seed,20,17,257880.0,36,7163.333333333333
Oilcrops Oil Equivalent,130,26,924300.0,53,17439.622641509435
Dates,20,19,4341344.0,59,73582.10169491525
Fruit fresh nes,190,25,1288880.0,22,58585.454545454544
Quinces,150,25,477767.0,10,47776.7
Vegetables Primary,230,26,1553288.0,20,77664.4
Chillies and peppers green,30,-5,249946.0,1,249946.0
Lettuce and chicory,50,8,7470755.0,47,158952.2340425532
Safflower seed,50,10,73367.0,6,12227.833333333334
Garlic,50,10,1388881.0,30,46296.03333333333
Leeks other alliaceous vegetables,150,26,376372.0,4,94093.0
Chillies and peppers green,200,25,2331550.0,24,97147.91666666667
Bananas,160,27,929825.0,15,61988.333333333336
Carrots and turnips,30,21,7995125.0,24,333130.2083333333
Currants,30,21,946346.0,24,39431.083333333336
Bastfibres other,140,25,325111.0,23,14135.260869565218
Coconuts,140,25,3454717.0,61,56634.70491803279
Cereals Rice Milled Eqv,220,24,551104.0,36,15308.444444444445
Coffee green,210,24,146441.0,25,5857.64
Pepper piper spp.,90,23,59372.0,17,3492.470588235294
Onions dry,80,28,417628.0,3,139209.33333333334
Garlic,200,25,312483.0,10,31248.3
Grain mixed,140,5,31872.0,1,31872.0
Fruit fresh nes,110,23,936153.0,14,66868.07142857143
Rye,40,14,589380.0,47,12540.0
Vegetables Primary,120,26,3276502.0,47,69712.8085106383
Barley,120,11,229779.0,9,25531.0
Carrots and turnips,120,27,1744843.0,19,91833.84210526316
Vegetables Primary,130,22,877606.0,12,73133.83333333333
Cucumbers and gherkins,130,22,805743.0,11,73249.36363636363
Roots and Tubers Total,60,21,4164889.0,25,166595.56
Olives,60,21,573488.0,19,30183.57894736842
Linseed,50,2,91776.0,7,13110.857142857143
Wheat,50,2,808842.0,16,50552.625
Oilcrops Cake Equivalent,40,11,234527.0,33,7106.878787878788
Melons other inc.cantaloupes,40,11,3705823.0,21,176467.7619047619
Beans dry,140,27,129705.0,16,8106.5625
Pepper piper spp.,50,24,31117.0,5,6223.4
Grapefruit inc. pomelos,220,25,1407474.0,21,67022.57142857143
Fruit fresh nes,40,19,594816.0,10,59481.6
Sugar cane,70,21,2.6169811E7,39,671020.7948717949
Olives,40,21,306912.0,18,17050.666666666668
Berries nes,40,1,86656.0,5,17331.2
Cashew nuts with shell,110,26,101306.0,27,3752.074074074074
Cereals Total,30,10,532409.0,19,28021.526315789473
Cucumbers and gherkins,30,10,3308271.0,19,174119.52631578947
Linseed,60,13,59065.0,9,6562.777777777777
Cereals Rice Milled Eqv,50,6,1816376.0,60,30272.933333333334
Cassava,80,23,5324217.0,51,104396.41176470589
Walnuts with shell,70,10,292017.0,17,17177.470588235294
Watermelons,90,12,707647.0,2,353823.5
Maize green,140,10,2788072.0,20,139403.6
Barley,90,22,171849.0,12,14320.75
Linseed,50,9,491460.0,50,9829.2
Rubber natural,120,26,184428.0,18,10246.0
Cereals nes,70,11,263832.0,10,26383.2
Cabbages and other brassicas,180,24,3244489.0,16,202780.5625
Tea,200,23,38322.0,3,12774.0
Cabbages and other brassicas,30,7,195556.0,1,195556.0
Peaches and nectarines,30,-7,1410441.0,17,82967.11764705883
Lentils,30,-7,164933.0,17,9701.941176470587
Cauliflowers and broccoli,30,2,470478.0,7,67211.14285714286
Pulses Total,120,12,117734.0,11,10703.09090909091
Raspberries,100,0,64592.0,1,64592.0
Onions dry,30,-8,7570236.0,25,302809.44
Avocados,30,19,1020988.0,17,60058.117647058825
Potatoes,30,17,3025341.0,21,144063.85714285713
Pigeon peas,110,13,29115.0,4,7278.75
Roots and tubers nes,140,25,2228926.0,34,65556.64705882352
Grain mixed,50,10,234201.0,7,33457.28571428572
Vegetables fresh nes,60,28,2182912.0,35,62368.91428571429
Asparagus,20,16,173413.0,2,86706.5
Cabbages and other brassicas,90,20,1662164.0,19,87482.31578947368
Beans green,120,5,785174.0,8,98146.75
Oilcrops,80,0,60552.0,4,15138.0
Cauliflowers and broccoli,80,0,833894.0,6,138982.33333333334
Grapefruit inc. pomelos,110,20,1129977.0,10,112997.7
Roots and tubers nes,120,27,1390675.0,17,81804.41176470589
Millet,130,25,241399.0,19,12705.21052631579
Rapeseed,10,19,69228.0,8,8653.5
Cereals Rice Milled Eqv,30,8,208805.0,10,20880.5
Strawberries,0,26,3428760.0,11,311705.45454545453
Vegetables fresh nes,50,28,933701.0,15,62246.73333333333
Fruit Primary,60,11,2337438.0,22,106247.18181818182
Oilcrops Cake Equivalent,150,28,31245.0,8,3905.625
Papayas,200,24,5877253.0,25,235090.12
Barley,10,0,153209.0,15,10213.933333333332
Sesame seed,30,12,7114.0,1,7114.0
Vegetables fresh nes,220,21,90909.0,1,90909.0
Spinach,260,26,232395.0,4,58098.75
Vegetables leguminous nes,60,23,418387.0,9,46487.444444444445
Treenuts Total,60,6,179361.0,9,19929.0
Chillies and peppers green,60,6,575979.0,5,115195.8
Asparagus,150,21,56878.0,2,28439.0
Anise badian fennel coriander,30,11,47309.0,6,7884.833333333333
Seed cotton,50,9,75939.0,10,7593.9
Carrots and turnips,80,16,985462.0,4,246365.5
Artichokes,80,11,293186.0,4,73296.5
Broad beans horse beans dry,100,21,4705.0,1,4705.0
Coarse Grain Total,90,5,280794.0,8,35099.25
Triticale,60,12,183874.0,5,36774.8
Watermelons,60,12,3919113.0,15,261274.2
Okra,50,13,47632.0,1,47632.0
Groundnuts with shell,180,22,134483.0,12,11206.916666666666
Grain mixed,130,5,197250.0,5,39450.0
Cereals Rice Milled Eqv,130,20,92508.0,4,23127.0
Garlic,80,21,278367.0,7,39766.71428571428
Nuts nes,140,24,188748.0,15,12583.2
Sweet potatoes,150,12,1123235.0,5,224647.0
Potatoes,80,-1,502894.0,2,251447.0
Wheat,80,20,127870.0,14,9133.57142857143
Fruit citrus nes,20,20,2907340.0,21,138444.7619047619
Rubber natural,100,23,41961.0,4,10490.25
Watermelons,20,28,7251512.0,28,258982.57142857142
Bastfibres other,200,23,36364.0,4,9091.0
Chick peas,20,18,273157.0,40,6828.925
Triticale,90,15,13178.0,1,13178.0
Hazelnuts with shell,40,12,70614.0,9,7846.0
Vegetables Primary,10,26,2498461.0,19,131497.94736842104
Spices nes,110,24,227548.0,10,22754.8
Seed cotton,100,20,185446.0,19,9760.315789473685
Cucumbers and gherkins,90,9,2.5112097E7,13,1931699.7692307692
Lemons and limes,30,10,340301.0,4,85075.25
Tomatoes,100,5,3157672.0,9,350852.44444444444
Seed cotton,30,25,9975.0,3,3325.0
Bananas,10,26,1343627.0,7,191946.7142857143
Pulses nes,230,24,296129.0,20,14806.45
Lentils,180,22,42624.0,10,4262.4
Vegetables Primary,150,22,1571931.0,16,98245.6875
Leeks other alliaceous vegetables,240,25,617055.0,8,77131.875
Hops,30,-9,43622.0,3,14540.666666666666
Blueberries,30,-9,115335.0,4,28833.75
Plums and sloes,70,0,91335.0,2,45667.5
Fruit Primary,70,0,5231844.0,10,523184.4
Almonds with shell,30,3,119160.0,8,14895.0
Kiwi fruit,120,9,165969.0,1,165969.0
Onions dry,110,5,520285.0,2,260142.5
Spices nes,240,27,45611.0,6,7601.833333333333
Oil palm fruit,280,25,1586881.0,10,158688.1
Cabbages and other brassicas,100,13,440264.0,2,220132.0
Tangerines mandarins clementines satsumas,100,13,187703.0,2,93851.5
Mushrooms and truffles,170,11,1386500.0,1,1386500.0
Oilcrops,10,13,5458409.0,14,389886.35714285716
Maize green,100,19,211116.0,3,70372.0
Oilcrops Oil Equivalent,120,19,24056.0,8,3007.0
Cashewapple,150,24,173455.0,4,43363.75
Pistachios,30,3,65544.0,5,13108.8
Eggplants aubergines,80,5,664618.0,6,110769.66666666667
Seed cotton,110,21,30276.0,4,7569.0
Cauliflowers and broccoli,10,7,350000.0,3,116666.66666666667
Chillies and peppers green,130,28,88407.0,2,44203.5
Millet,80,7,58173.0,5,11634.6
Cocoa beans,260,24,19447.0,6,3241.1666666666665
Potatoes,70,5,1008146.0,8,126018.25
Spinach,320,25,39011.0,1,39011.0
Currants,140,9,146028.0,4,36507.0
Beans green,110,23,197895.0,7,28270.714285714286
Nuts nes,10,1,74705.0,3,24901.666666666668
Soybeans,70,24,27763.0,3,9254.333333333334
Pulses nes,150,23,95852.0,13,7373.2307692307695
